company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
経営基盤支援センター株式会社,https://shiencenter.jp,〒006-0012 北海道札幌市手稲区富岡2,0120-67-2238,,SNS運用,https://shiencenter.jp/ | https://shiencenter.jp/services/ | https://shiencenter.jp/about/ | https://shiencenter.jp/contact/,A,18,4,0
株式会社MIRAIZU【仙台の広告代理店】SEO・ホームページ制作会社,https://www.miraizu-inc.jp,〒060-0004 北海道札幌市中央区北4,050-5897-0413,,SNS platform + operation service,https://www.miraizu-inc.jp/news/8341/ | https://www.miraizu-inc.jp/contact/ | https://www.miraizu-inc.jp/company/ | https://www.miraizu-inc.jp/contact,A,18,42,4
株式会社シェアスタック,https://www.surestack.net,〒107-0062 東京都港区南青山2,011-522-9739,,SNS運用代行 / SNS運用,https://www.surestack.net/post/20260420 | https://www.surestack.net/corporate-branding | https://www.surestack.net/company | https://www.surestack.net/about-us,A,18,35,6
株式会社さとゆめ,https://satoyume.com,〒102-0074 東京都千代田区九段南3,,,SNS platform + operation service,https://satoyume.com/project/?cat=consulting-business-07 | https://satoyume.com/about/ | https://satoyume.com/services/ | https://satoyume.com/company/,A,18,17,0
株式会社トモデザイン,https://tomodesign.co.jp,〒812-0011 福岡県福岡市博多区 博多駅前二丁目,,,SNS platform + operation service,https://tomodesign.co.jp/project/ | https://tomodesign.co.jp/company/ | https://tomodesign.co.jp/inquiry/,A,18,145,0
Ritz-Computer Inc.,https://ritz-web.net,〒041-0811 北海道函館市富岡町3,0138-83-8222,,Instagram運用代行,https://ritz-web.net/works/ | https://ritz-web.net/about/ | https://ritz-web.net/ | https://ritz-web.net/about/,A,18,10,0
有限会社オリエントコーティング,https://www.orientcoating.jp,〒984-0002 宮城県仙台市若林区卸町東2,022-788-2960,,SNS運用支援,https://www.orientcoating.jp/support/ | https://www.orientcoating.jp/company/ | https://www.orientcoating.jp/service/ | https://www.orientcoating.jp/contact/,A,18,20,0
株式会社EYLホールディングス,https://eyl-holdings.co.jp,〒041-0853 北海道函館市中道1,,,SNS運用,https://eyl-holdings.co.jp/professional/ | https://eyl-holdings.co.jp/professionals-dx/ | https://eyl-holdings.co.jp/retail-services-dx/ | https://eyl-holdings.co.jp/company-profile/,A,18,136,0
株式会社Daysコンサルティング,https://days-consulting.com,〒980-0014 宮城県仙台市青葉区本町一丁目,080-4184-8952,,SNS platform + operation service,https://days-consulting.com/topics/%E3%80%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E4%BE%8B%E2%91%A2%E3%80%91%E7%B5%8C%E5%96%B6%E8%80%85%E4%BA%A4%E4%BB%A3%E3%81%AE%E7%AF%80%E7%9B%AE%E3%81%ABcoo%E4%BB%A3%E8%A1%8C%E3%82%B5%E3%83%BC%E3%83%93/ | https://days-consulting.com/about/ | https://days-consulting.com/contact/ | https://days-consulting.com/topics/%E3%80%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E4%BE%8B%E2%91%A2%E3%80%91%E7%B5%8C%E5%96%B6%E8%80%85%E4%BA%A4%E4%BB%A3%E3%81%AE%E7%AF%80%E7%9B%AE%E3%81%ABcoo%E4%BB%A3%E8%A1%8C%E3%82%B5%E3%83%BC%E3%83%93/,A,18,19,0
株式会社キャディッシュ,https://www.489ban.net,〒506-0045 岐阜県高山市赤保木町1,0120-489-468,,SNS platform + operation service,https://www.489ban.net/news/postid_847/ | https://www.489ban.net/services/ | https://www.489ban.net/services/489ban/ | https://www.489ban.net/services/web/,A,18,332,0
