_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード,fit_state,fit_reason,fit_category,fit_evidence,evidence_urls
18,株式会社ラボーラ・クリエイト,https://lbl-c.com,〒980-0021 宮城県仙台市青葉区中央4,050-6883-9320,,https://lbl-c.com/form/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://lbl-c.com/service/
34,株式会社シロカラ,https://shirokara.co.jp,〒950-0922 新潟県新潟市中央区山二ツ3,,,https://shirokara.co.jp/seo-contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用,sns,,SNS運用・SNS広告,SNS運用 / Instagram運用代行 / Instagram運用,https://shirokara.co.jp/instagram-daikou/
68,株式会社システムサポート,https://www.sts-inc.co.jp,〒920-0853 石川県金沢市本町1,,,https://www.sts-inc.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用,exclude,official_service_unconfirmed,,,
75,株式会社ティーツーシー,https://t2c-inc.com,〒101-0054 東京都千代田区神田錦町3,03-6811-7994,,https://t2c-inc.com/contact/,,,,,,,,,Web制作・クリエイティブ,Web制作 / ランディングページ制作 / 動画制作,web,,Web制作会社,Web制作 / コーポレートサイト制作 / 採用サイト制作,https://t2c-inc.com/service/web/ | https://t2c-inc.com/service/web/corporate/ | https://t2c-inc.com/service/
95,株式会社共立プラニング,https://www.kyoritz-p.co.jp,〒380-0813 長野県長野市鶴賀緑町1,,,https://www.kyoritz-p.co.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,販売促進 / 地域プロモーション,sns,,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://www.kyoritz-p.co.jp/service/digital/
105,株式会社らふがき,https://laughgaki.com,〒490-1111 愛知県あま市甚目寺桑丸8,,,https://laughgaki.com/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,sns,,SNS運用・SNS広告,SNS運用 / Instagram運用 / TikTok運用代行,https://laughgaki.com/service/
119,DOTZ株式会社,https://dotz.co.jp,〒153-0042 東京都目黒区青葉台4,03-6804-8711,,https://dotz.co.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,LINE公式アカウント運用,exclude,official_service_unconfirmed,,,
135,株式会社ニコモア,https://nicomore.jp,〒257-0003 神奈川県秦野市南矢名1,080-7404-8198,,https://nicomore.jp/#ol-section-contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://nicomore.jp/plan1/
188,株式会社チェリービー,https://cherrybee.tv,〒330-0062 埼玉県さいたま市浦和区仲町１,048-762-7907,,https://cherrybee.tv/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ウェブサイト制作 / 動画制作,web,,Web制作会社,ホームページ制作 / ウェブサイト制作 / ウェブ制作,https://cherrybee.tv/website/
190,株式会社ウェブサイト,https://kj-lively-support.com,〒310-0021 茨城県水戸市南町三丁目,,,https://kj-lively-support.com/ict-consulting/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,web,,Web制作会社,ホームページ制作,https://kj-lively-support.com/
198,株式会社ココピア,https://cocopia-works.jp,〒248-0006 神奈川県鎌倉市小町2,0467-81-5334,,https://cocopia-works.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,exclude,official_service_unconfirmed,,,
219,合同会社Yorimichi,https://yorimichi-local.jp,〒221-0056 神奈川県横浜市神奈川区金港町5,,,https://yorimichi-local.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://yorimichi-local.jp/sns/
220,株式会社M-support,https://msu.co.jp,〒444-3515 愛知県岡崎市桑谷町字西平地3,,,https://msu.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNSマーケティング / Instagram運用,web,,Web制作会社,ホームページ制作 / Webサイト制作 / Web制作,https://msu.co.jp/web-creation/
227,飛labo株式会社,https://hi-labo.jp,〒900-0001 沖縄県那覇市港町2,098-963-8190,,https://hi-labo.jp/form/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://hi-labo.jp/sns/ | https://hi-labo.jp/
252,合同会社makoto,https://mmakoto-llc-sassa.cloud,〒657-0011 兵庫県神戸市灘区 天城通３,070-2285-1919,,https://mmakoto-llc-sassa.cloud/contact,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,sns,,SNS運用・SNS広告,SNSマーケティング / SNS運用,https://mmakoto-llc-sassa.cloud/ | https://mmakoto-llc-sassa.cloud/services
300,株式会社グリーンホワイト,https://www.greenw.co.jp,〒305-0031 茨城県つくば市吾妻二丁目,,,https://www.greenw.co.jp/contact,,,,,,,,,店舗・業種特化マーケティング,地域プロモーション,marketing,,Webマーケティング・広告,プロモーション支援,https://www.greenw.co.jp/services
301,合同会社経営採用戦略室,https://tokyo-legaloffice.com,〒103-0003 東京都中央区日本橋横山町7,070-8398-4144,,https://tokyo-legaloffice.com/ma/sell-contact/,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,web,,Web制作会社,Webサイト制作 / Web制作,https://tokyo-legaloffice.com/services/ | https://tokyo-legaloffice.com/GMO/
302,テルウェル東日本株式会社,https://www.telwel-east.co.jp,〒135-0033 東京都江東区深川2,,,https://www.telwel-east.co.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,web,,Web制作会社,ホームページ制作 / ホームページ作成 / サイトリニューアル,https://www.telwel-east.co.jp/products/marketing/homepage/ | https://www.telwel-east.co.jp/products/marketing/
377,株式会社ラビナス,https://labinas.jp,〒171-0031 東京都豊島区目白2,048-795-6994,,https://labinas.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,集客支援,marketing,,Webマーケティング・広告,集客支援,https://labinas.jp/
387,株式会社ハイパークリエーション東京,https://hypercreation.tokyo,〒101-0025 東京都千代田区神田佐久間町 3,03-5829-8515,,https://hypercreation.tokyo/contact-test,,,,,,,,,店舗・業種特化マーケティング,集客支援 / 販売促進,marketing,,Webマーケティング・広告,Web集客支援 / 集客支援,https://hypercreation.tokyo/business/
399,共栄印刷株式会社,https://kyoeiprinting.com,〒996-0025 山形県新庄市若葉町1,0233-22-6516,,https://kyoeiprinting.com/contact/,,,,,,,,,Web制作・クリエイティブ,Web制作 / ブランディング,web,,Web制作会社,Web制作,https://kyoeiprinting.com/service/
409,株式会社コンパス,https://u-compass.jp,〒300-1204 茨城県牛久市岡見町2,029-819-2411,,https://u-compass.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / 広告運用,web,,Web制作会社,Webサイト制作,https://u-compass.jp/up-sales/about-website/
421,株式会社みんぷろ,https://www.minpromotion.jp,〒215-0023 神奈川県川崎市麻生区片平6,044-379-2004,,https://minpromotion.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ウェブサイト制作 / ウェブ制作,web,,Web制作会社,ウェブサイト制作 / LP制作 / ウェブ制作,https://www.minpromotion.jp/contents/
423,有限会社オータス,https://ohtas.jp,〒400-0032 山梨県甲府市中央1,055-298-4300,,https://ohtas.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / リスティング広告,marketing,,Webマーケティング・広告,Web広告 / リスティング広告,https://ohtas.jp/business/
441,アスピリアス株式会社,https://www.aspirias-home.com,〒333-0801 埼玉県川口市東川口4,048-400-0484,,https://www.aspirias-home.com/contact-8,,,,,,,,,SNS運用・SNS広告,SNSマーケティング,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://www.aspirias-home.com/sns
442,合同会社エイチワイ,https://hy-exad.com,〒356-0053 埼玉県ふじみ野市大井字西台8,049-257-8277,,https://hy-exad.com/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://hy-exad.com/website-work/
456,株式会社ビジョンアーチ,https://www.visionarch.jp,〒220-0004 神奈川県横浜市西区北幸2,050-5470-6795,,https://www.visionarch.jp/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.visionarch.jp/service
475,株式会社オロパス,https://www.pascaljp.com,〒060-0042 北海道札幌市中央区大通西6,011-206-6870,,https://www.pascaljp.com/form/contact.html,,,,,,,,,Web広告・デジタル集客,Webマーケティング / ウェブマーケティング / SEO対策,web,,Web制作会社,Web制作 / ホームページ制作 / Webサイト制作,https://www.pascaljp.com/customers/case26.html | https://www.pascaljp.com/customers/case19.html
481,株式会社Hyatt,https://hyatt-japan.com,〒150-0031 東京都渋谷区桜丘町2,03-6712-7315,,https://hyatt-japan.com/contact/,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,exclude,official_service_unconfirmed,,,
488,合同会社 ふくしまRISE,https://www.fukushima-rise.jp,〒960-0211 福島県福島市飯坂町湯野字切湯ノ上1,,,https://www.fukushima-rise.jp/inquiry.html,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,exclude,official_service_unconfirmed,,,
502,株式会社Valusync,https://valusync.co.jp,〒790-0001 愛媛県松山市一番,050-8895-1324,,https://valusync.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,sns,,SNS運用・SNS広告,SNS運用 / SNSマーケティング / Instagram運用,https://valusync.co.jp/service/marketing/
519,株式会社 Rise,https://www.riseagency.co.jp,〒108-0073 東京都港区三田3,03-5443-6700,,https://www.riseagency.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / リスティング広告 / 広告運用,sns,,SNS運用・SNS広告,SNS運用 / SNS広告,https://www.riseagency.co.jp/service/juku_marketing/ | https://www.riseagency.co.jp/service/
525,株式会社Essence,https://www.essence-enrich.jp,〒604-0881 京都府京都市中京区高倉通丸太町下る坂本町6,075-600-0448,,https://www.essence-enrich.jp/contact,,,,,,,,,SNS運用・SNS広告,SNSマーケティング,sns,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,https://www.essence-enrich.jp/snsmarketing
528,株式会社チャムズ,https://chams-co.com,〒802-0084 福岡県北九州市小倉北区香春口1,050-1808-6990,,https://chams-co.com/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://chams-co.com/media-management/
533,株式会社アップデート,https://www.update-up.com,〒541-0056 大阪府大阪市中央区久太郎町2,,,https://www.update-up.com/contact,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,sns,,SNS運用・SNS広告,SNS運用支援 / SNS運用 / SNS広告,https://www.update-up.com/service/other-domains-recruiting | https://www.update-up.com/service/marketing
544,株式会社ジャパンアイディア,https://jih.jp,〒700-0907 岡山県岡山市北区下石井１,086-238-6635,,https://jih.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,集客支援,marketing,,Webマーケティング・広告,集客支援,https://jih.jp/feature/customer-attraction-support/
547,株式会社ブシドー,https://bsdinc.co.jp,〒900-0013 沖縄県那覇市牧志3,03-6804-6548,,https://bsdinc.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,https://bsdinc.co.jp/service/
574,株式会社KISYABAREE,https://kisyabaree.com,〒890-0056 鹿児島県鹿児島市下荒田3,,,https://kisyabaree.com/contact/,,,,,,,,,店舗・業種特化マーケティング,地域プロモーション,exclude,official_service_unconfirmed,,,
622,株式会社クロス・デイリー,https://cross-daily.jp,〒810-0001 福岡県福岡市中央区天神2,092-687-7111,,https://cross-daily.jp/contact/,,,,,,,,,Web制作・クリエイティブ,動画制作,exclude,official_service_unconfirmed,,,
628,株式会社スタッカー,https://stacker.co.jp,〒651-0082 兵庫県神戸市中央区小野浜町 1,078-332-1318,,https://stacker.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,Web制作 / ブランディング,web,,Web制作会社,Web制作 / ECサイト制作,https://stacker.co.jp/service/ | https://stacker.co.jp/service/web-development/
632,合同会社weeds,https://weed-s.jp,〒344-0011 埼玉県春日部市藤塚1,048-606-4776,,https://weed-s.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,web,,Web制作会社,Webサイト制作 / LP制作,https://weed-s.jp/service/web-design/ | https://weed-s.jp/service/lp/
635,LeeN合同会社,https://leen.jp,〒164-0011 東京都中野区中央4,03-6822-3648,,https://leen.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / 広告運用,marketing,,Webマーケティング・広告,Web広告,https://leen.jp/service
645,AVANT 株式会社,https://avant-brand.co.jp,〒690-0845 島根県松江市西茶町4,0852-61-1125,,https://avant-brand.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,映像制作 / ブランディング,exclude,official_service_unconfirmed,,,
655,株式会社山川印刷所,https://www.yamakawa-p.co.jp,〒960-2153 福島県福島市庄野字清水尻1,024-593-2221,,https://www.yamakawa-p.co.jp/contact,,,,,,,,,店舗・業種特化マーケティング,販促支援,marketing,,Webマーケティング・広告,販促支援,https://www.yamakawa-p.co.jp/pr/
658,株式会社富士コミュニケーションズ,https://www.fuji-com.ne.jp,〒430-0933 静岡県浜松市中区鍛冶町1,053-458-9888,,https://www.fuji-com.ne.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / 広告運用,marketing,,Webマーケティング・広告,Web広告運用 / Web広告 / 広告代理店,https://www.fuji-com.ne.jp/service/sample-service2/ | https://www.fuji-com.ne.jp/service/%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C/
661,株式会社Core,https://core-cloud-service.com,〒541-0051 大阪府大阪市中央区備後町2,06-6809-2329,,https://core-cloud-service.com/information/,,,,,,,,,Web広告・デジタル集客,Web広告 / 広告運用,exclude,official_service_unconfirmed,,,
693,株式会社マスドライバー,https://massdriver.net,〒103-0015 東京都中央区日本橋箱崎町3,0200-0114-0692,,https://massdriver.net/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / 広告運用,sns,,SNS運用・SNS広告,SNS運用 / SNSマーケティング / Instagram運用,https://massdriver.net/category_works/sns/
701,株式会社グラムワークス,https://glamworks.co.jp,〒220-0012 神奈川県横浜市西区みなとみらい5,,,https://glamworks.co.jp/#form,,,,,,,,,店舗・業種特化マーケティング,販促支援 / マーケティング支援,exclude,official_service_unconfirmed,,,
702,株式会社 Area87,https://area87.design,〒194-0023 東京都町田市旭町3,042-851-8152,,https://area87.design/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / 動画制作,web,,Web制作会社,ホームページ制作 / Web制作,https://area87.design/
