"マッチ種別","行番号_幹事","企業名","URL","エリア","代表者名","送信日","送信結果"
"企業名のみ","128","株式会社ヴリッジ","https://goo-up.com/works-list/","大阪府","土橋 裕作","","×"
"企業名のみ","135","かんさい広告サービス株式会社","https://kks-ec.com/homepageone","大阪府","森脇剛成","",""
"企業名のみ","762","株式会社BRIDGE","http://nashweb.jp/","愛知県","中村 壮大","",""
"企業名のみ","791","株式会社ＷＣＡ","https://wc-a.co.jp/","東京都","日野富士男","",""
"企業名のみ","861","株式会社GIG","https://giginc.co.jp/works/","東京都","岩上 貴洋","",""
"企業名のみ","863","cotrot","https://ptnimz.tokyo/web-site/","東京都","ミツキ","","×"
"企業名のみ","891","株式会社SAN","https://sancorp.co.jp/","東京都","黒田晃生","",""
"企業名のみ","1091","株式会社Wacworks","https://wac-works.jp/","東京都","舟瀬　悠","",""
"企業名のみ","1284","株式会社ゴマシオカンパニー","https://cresai.nashplan.jp/work/","東京都","山崎 準也","",""
"企業名のみ","1322","株式会社Bridge","https://www.bridge-world.jp/works","東京都","松本雄介","",""
"企業名のみ","1330","株式会社エレクトロドリーム","http://www.electrodream.jp/","東京都","務台 祐太郎","",""
"企業名のみ","1632","株式会社アットサポート","https://homepageya.biz/#top","東京都","木村 充","",""
"企業名のみ","1722","株式会社トッカシステムズ","http://www.tocca-net.jp/cases/index.html","東京都","谷 樹","",""
"企業名のみ","1791","株式会社ミデア","https://m-idea.co.jp/works/","東京都","奥山 真","",""
"企業名のみ","1852","サニージェム株式会社","http://sunny-gem.jp/works","東京都","山内 道晴","",""
"企業名のみ","2155","JAZYブランディング株式会社","https://jazygroup.com/","東京都","日比野 文夫","",""
"企業名のみ","2370","アバウトネット株式会社","https://about-web.jp/works/","東京都","松島 光雄","",""
"企業名のみ","2373","株式会社TONOSAMA","https://fukui-hp.net/works/","東京都","山本 昌平","",""
"企業名のみ","2994","株式会社COMPANY","http://company-soka.com/","埼玉県","小勝 元貴","",""
"企業名のみ","4397","株式会社BRIDGE","http://nashweb.jp/","岐阜県","中村 壮大","",""
